gene,GSM674282,GSM674283,GSM674284,GSM674285,GSM674286,GSM674287,GSM674288,GSM674289,GSM674290,GSM674291,GSM674292,GSM674293,GSM674294,GSM674295,GSM674296,GSM674297,GSM674298,GSM674299,GSM674300,GSM674301,GSM674302,GSM674303,GSM674304,GSM674305,GSM674306,GSM674307,GSM674308,GSM674309,GSM674311,GSM674314,GSM674315,GSM674316,GSM674317,GSM674318,GSM674319,GSM674320,GSM674321,GSM674322,GSM674323,GSM674324,GSM674325,GSM674326,GSM674327,GSM674328,GSM674329,GSM674330,GSM674331,GSM674332,GSM674333,GSM674334,GSM674335
ENSG00000095906,7.7544488998912,5.57205444795744,6.98569691151712,7.09952738441956,6.28375177544075,7.67504400786825,6.75385563186697,6.9283224713734,7.03240357660244,6.68573035207582,7.01552623280449,6.19328151062412,6.0,7.38595507145549,6.08292583452932,7.70934697462128,7.81245009774586,7.26170020156749,7.08267800468395,7.24776492842146,7.16664320440409,5.2833951769022,8.10466544742727,6.87510025092381,6.64517804804654,7.03624351329992,4.97091703375655,6.46029831490924,6.79081289999058,6.92726777477474,6.77345753151693,7.92534681250955,7.16497892245433,8.05737569354452,5.82513053433405,6.49679787466184,6.79933194386883,7.02560664133987,6.73743901367918,5.84541286552832,6.53514951408708,7.42109026966683,6.74559659114962,7.18522304800803,6.32124124453917,5.0,7.02636453516085,6.72171216963667,7.51733283440301,5.86366776175474,5.86689208759807
ENSG00000127838,6.19939800573794,6.41979806652393,7.62894243459654,6.38922697640866,7.3970346451633,6.8754465542673,7.67204240564914,6.47673835998973,5.30876659700176,5.96975489571958,5.50096270880582,5.82120875140594,6.0,7.31286830856132,5.57553338602017,6.49602739006996,7.32424708846549,6.83018832473089,7.55200248982887,5.64452706307426,5.39605688209904,6.86457591877417,6.69419384655055,6.15663793589916,6.9175275083921,6.43150278851333,6.03353400576792,7.18806301255929,6.68971259965794,7.46854584309225,6.3991670631322,7.33868215636786,5.52278100229781,8.57163186533588,7.85934095616349,7.8654472787237,7.68565624684185,8.31577091166896,6.76178571906636,7.98910159503389,8.25276654603246,8.46070681315161,8.07274478719653,7.10391140612758,7.43085411643347,8.0,6.55579560369399,7.07278167060846,9.38994328037696,7.91213353673811,7.34178087653934
ENSG00000167861,8.1901610425879,7.83306594740118,7.2516556399292,7.85987818518338,8.63719124087801,8.83260193098523,8.17185518157971,7.91491343414407,8.01562302036891,9.68731452385577,9.01120764769068,7.79931483354158,8.0,7.82386836148132,8.1204542338335,8.27788240501288,7.86548623160751,9.07725147691479,9.12932351864621,8.79823171109193,7.66872542742826,7.92993753129428,8.21805122400564,8.27009837187165,7.47752041180704,8.4686537345797,9.45263407136567,8.59704544752215,8.80434004881279,8.69023000246107,8.5677116961899,8.60098444664058,9.18637446001491,8.27295158695068,8.74787691345232,8.05349312407714,8.3262321987375,7.95140283683269,8.81192470963942,7.92638323505642,8.06798658028612,8.76966495342469,7.71040932366127,9.20595556375873,8.72766420609927,7.0,8.10423814738688,6.8118384073309,7.52382495940451,7.81557445146445,8.24565297487577
ENSG00000069849,6.85745212177996,7.02667920309324,5.52308620548021,5.96609067565446,5.65327270815849,6.70061464916155,6.59501480112612,6.20565296433922,6.758512153473,5.62916777920229,5.77248540072935,5.0772252389215,6.0,6.55810831524781,5.07709427271463,5.74867334239606,4.92229400608533,5.91902526663243,5.22280468181236,5.27867505311066,6.25596213532184,6.03893194015528,5.3666015611994,6.73366567061797,4.78710231259167,6.21350729597237,4.73309428043923,5.6896339126875,6.50573668158022,3.86128637382641,4.46937816012997,5.63489305263626,5.95443395242595,5.5485926377528,6.21135236218673,5.59160222057842,5.49729931423619,6.09493524420985,5.69269900179619,5.70776091502693,6.0502964744622,5.45039060363059,4.90760831571829,5.48690579594602,5.60464573046641,6.0,5.26474597151424,6.40926498093896,6.39486523629396,5.20747577741659,5.96690781660862
ENSG00000142230,5.7892590785202,5.00039752196926,5.66342253184775,6.13483783200641,5.21476591472776,4.92412933754079,5.66932946318374,4.73049479269661,3.84265058747,3.72949128766886,4.41284271916891,4.74996301607758,7.0,5.86875347739196,4.76287396392643,5.29496803609615,4.9462804720049,4.76045055462545,5.29802940422357,3.67627767407353,5.22256882528163,4.62727709170809,4.6316687855237,5.54558839613931,6.15890302310786,6.32014998393722,3.40576042533374,5.8883354183497,4.43697969023393,4.1392159391573,4.97938201778478,4.59355969664415,4.92960926956582,4.14964063420525,4.25557330157426,5.19484551074956,5.04803552586853,4.73213148508488,4.51816914850998,4.77663398704365,6.16278664222277,4.30219130543252,5.69402852066272,4.83369291818081,5.32888006084927,4.0,5.54338968502863,6.58651202290738,6.70612276361223,4.9261424418408,6.21637338945157
ENSG00000180964,6.36362932159964,6.43229017737816,5.62723471018111,6.01788456905015,6.67502520655403,6.29481033742638,6.51256210880201,6.09184717463486,6.02457212794071,6.54781981952887,6.66939269457758,6.87668813770285,6.0,7.60355976291349,6.00625383167961,5.59093612194345,5.54796611577796,7.54460576652403,7.24140760099776,7.2906797976784,6.45095272969504,6.70944113456511,5.9400423705755,6.53499021938142,6.4232168046444,6.40894560962644,6.38331007780602,6.86116858694627,6.67475700521095,7.33879834502514,7.83984494009305,5.72827243387514,5.82456229346086,6.38148875528897,5.88612852825575,6.66594964579092,6.73360014176368,6.64240617300283,6.07928758271226,6.55015230727085,6.21424163716676,6.03448596403135,6.43948404426752,7.15334661269057,6.55888318551403,8.0,6.09316041883099,6.48439713271082,5.08613066821296,6.04582108558573,6.09617669976862
ENSG00000089163,8.16380273133077,8.96784846135788,8.448323005888,8.45941600022672,8.25146941519494,8.93142237849217,7.78657633430972,8.82957807721065,8.17741790046913,8.7048766499144,8.13292860061502,8.47570970001486,8.0,9.47308377975169,8.23946796726507,8.41885553940507,8.96617428283054,8.86402768675088,8.9334986814355,9.26532241977425,8.40172293535291,10.2157255123571,8.95997705806608,7.937723083091,9.45038449392553,8.47050519703133,8.46790004263412,10.01448993956467,9.87663836560951,9.95488076650561,8.84626816120811,9.43399796873672,9.43929795559454,8.52365858001495,9.32541950006966,10.64905682029169,8.9643785056814,9.36328391588069,10.20640550682203,9.97432258237218,9.02346302541865,9.62739988193114,8.66855721157981,8.8667195731987,10.2272414616191,9.0,9.55048328420726,8.63272409282239,8.63806571692228,9.50402489144353,8.87094799567064
ENSG00000198604,5.10102801164191,5.37244310020232,4.32340997191338,4.6497265197445,5.41168452837102,5.54950422840286,6.3205111099785,5.17388646431396,5.06083579377201,5.29739027123648,4.41513363316253,5.76941543586935,5.0,7.06473985323873,4.16577674828372,3.3778566553306,4.0821170500075,5.78482490791196,5.8904443440547,5.49877278335712,4.495975365098,5.42555102937478,4.91782854558131,4.7359860586686,4.13818795087686,3.9292194808974,5.17895837110658,3.97113115961862,4.02963921769476,4.36801887451356,3.88950241340984,4.82703690457342,5.10207018442563,5.40637190058782,5.05509753916987,5.63287062241017,5.18245058899509,5.46965528702819,4.54683840318744,4.84517966775676,5.22106489149552,5.65651624670294,5.64945679586436,4.43201193457212,4.60675675891571,4.0,4.08877658238213,4.56076803547414,4.93173887788501,4.90907793277928,5.06193250533032
ENSG00000204632,1.96102975920825,2.26872484104801,2.69743554322331,2.94475265224724,2.41580669088518,2.47397476272151,3.03258156804348,1.92700508594914,2.33072244258833,1.95111787945976,2.37803761283016,2.35498285464819,2.0,3.60893642941787,3.85390693114706,3.70064683141771,3.1847780964778,2.73061654459923,2.36275989777419,2.43443618609718,2.36314601408227,1.77886744837515,2.14550494864404,1.98430735305712,2.63151528340405,3.51391183494286,1.75901197820017,2.4085178361276,3.20288586736572,3.60253391077621,3.23725298951141,2.40839984899093,2.73460449305602,2.78681715255382,3.27624937980878,3.66540184733488,1.86773299158075,2.73265977928562,2.4725783458778,2.86433662118108,2.66822676388506,2.15179112254246,2.5766818889449,2.81173308164734,2.11671914211497,3.0,2.9594709294748,2.61296445657387,2.77472438947385,2.2068795668272,3.68264276051236
ENSG00000204595,7.05017908680572,7.3970360025721,8.30119746855483,7.49695033724055,7.35131654716226,7.49179018625581,6.07096331789737,6.85795679075802,7.23765186426268,7.75794105773778,6.66112812551472,7.16340422199138,7.0,6.49342030075183,9.07916389433975,8.2634428584056,8.50426443482576,7.69419819255728,7.22758519686737,8.39706850640005,8.07197023066341,6.93816197238446,8.09818609666672,7.37818015028392,7.64944379668714,8.62871795509801,8.77032990262808,7.45111056384542,9.08750327242463,8.35171936633377,7.15075928418557,7.71064104968759,8.34293081954516,8.3067691996621,7.95954865854131,7.54568439907444,7.0507940386695,7.05510675204514,7.0322799596227,7.31292433298911,7.84695617146766,7.44043584971725,7.85557497946898,7.8961759680154,7.19691001519347,8.0,8.15675375516752,7.54368074393569,6.25275773415869,6.86877973094662,7.32684063651633
